Month,Game,More games
Nov 2015,Legend of Grimrock 2,Saints Row IV; Besiege; Valkyria Chronicles™; Lethal League; SanctuaryRPG: Black Edition; TowerFall Ascension; Legend of Grimrock 
Dec 2015,TowerFall Ascension,Banished; Rust; PAYDAY 2; NEON STRUCT; Chroma Squad; Company of Heroes 2
Jan 2016,PAYDAY 2,The Talos Principle; The Masterplan; Mushroom 11; Grim Fandango Remastered; Spelunky; A Fistful of Gun
Feb 2016,Alien: Isolation,Titan Souls; Broken Age; Volume; Penarium; Dropsy
Mar 2016,ARK: Survival Evolved,Wasteland 2: Director's Cut; GRAV; Shantae and the Pirate's Curse; I am Bread; Sentinels of the Multiverse; Switchcars
Apr 2016,This War of Mine; South Park™: The Stick of Truth™,Nuclear Throne; Renowned Explorers: International Society; Nova-111; The Magic Circle; Avalanche 2: Super Avalanche; Stikbold!
May 2016,MAD MAX,Infinifactory; Crawl; Galak-Z; JumpJet Rex; Fran Bow; Oddworld: New 'n' Tasty; 1993 Space Machine
Jun 2016,Rocket League,The Forest; Planetary Annihilation: TITANS; Keep Talking and Nobody Explodes; Dungeon of the Endless™; Steredenn; WASTED
Jul 2016,Hurtworld,Kentucky Route Zero; Satellite Reign; TIS-100; The Red Solstice; Avernum 2: Crystal Souls; Cthulhu Realms - Full Version
Aug 2016,Call of Duty: Black Ops III - Multiplayer,The Incredible Adventures of Van Helsing: Final Cut; The Jackbox Party Pack 2; Poi; Planet of the Eyes; Starward Rogue; Random Access Murder
Sept 2016,SOMA,The Banner Saga; WWE 2K16; Sheltered; Epistory - Typing Chronicles; Town of Salem
Oct 2016,Grim Dawn,Slime Rancher; Hotline Miami 2: Wrong Number; Deponia Doomsday; Train Valley; Action Henk; THOTH
Nov 2016,Stardew Valley,BROFORCE; Rebel Galaxy; Beyond Eyes; Kathy Rain; Styx: Master of Shadows; Pirate Pop Plus
Dec 2016,Dragon's Dogma: Dark Arisen,The Escapists; Mordheim: City of the Damned; Hacknet; Western Press; The Flame in the Flood; Minion Masters
Jan 2017,Warhammer: End Times - Vermintide,Project CARS; Mother Russia Bleeds; The Legend of Heroes: Trails in the Sky; Neon Chrome; Jotun: Valhalla Edition; Hopiko
Feb 2017,XCOM 2,Ryse: Son of Rome; ABZÛ; SteamWorld Heist; Okhlos: Omega; Project Highrise; Husk
Mar 2017,Total War: WARHAMMER,Poly Bridge; Space Run Galaxy; ONE PIECE PIRATE WARRIORS 3; Flat Heroes; RIVE; Morphblade
Apr 2017,The Witness,Layers of Fear; Black Mesa; Kingdom: New Lands; Event[0]; Tumblestone; Slime-san
May 2017,Dirt Rally; Inside,This Is the Police; UNDERTALE; Metrico+; GoNNER; GoNNER OST; The Turing Test; Super Rude Bear Resurrection
Jun 2017,Stellaris,Plague Inc: Evolved; SUPERHOT; Ashes of the Singularity: Escalation; Brigador: Up-Armored Edition; Shoppe Keep; Maize
Jul 2017,DARK SOULS™ II: Scholar of the First Sin,Galactic Civilizations III; Hyper Light Drifter; Armello; SimplePlanes; Sherlock Holmes: The Devil's Daughter; Kero Blaster; 
Aug 2017,NBA 2K17; Pillars of Eternity,ONE PIECE BURNING BLOOD; Offworld Trading Company; War for the Overworld; Overcooked; Wuppo - Definitive Edition; Nongunz: Doppelganger Edition
Sept 2017,Killing Floor 2,The Banner Saga 2; Momodora: Reverie Under the Moonlight; Worms W.M.D; Stories Untold; HackyZack; Eterium
Oct 2017,Rise of the Tomb Raider,Wargame: Red Dragon; Furi; Orwell; Seasons after Fall; The Shrouded Isle; Scanner Sombre
Nov 2017,Quake Champions; The Elder Scrolls Online; The Elder Scrolls: Legends,Resident Evil 5; Shadow Tactics: Blades of the Shogun; Dead Rising 2; Silence; Emily is Away Too; World to the West
Dec 2017,Z1 Battle Royale,Rivals of Aether; BlazBlue: Chronophantasma Extend; Nex Machina; The Sexy Brutale; STRAFE: Gold Edition; Passpartout: The Starving Artist; Way of the Passive Fist
Jan 2018,The Long Dark; Quantum Break; Warhammer 40;000: Dawn of War III,Tomb Raider; Sleeping Dogs: Definitive Edition; HIVESWAP: Act 1; Mr. Shifty; Cursed Castilla (Maldita Castilla EX)
Feb 2018,Sid Meier's Civilization VI,Life is Strange Complete Season (Episodes 1-5); Tacoma; Owlboy; Black the Fall; Snake Pass; The Norwood Suite
Mar 2018,Dark Souls III,Overgrowth; Lost Castle; Splasher; Aviary Attorney; Last Day of June; Holy Potatoes! We're in Space?!
Apr 2018,Deus Ex: Mankind Divided; GOD EATER 2: Rage Burst; Mafia III,Outlast 2; Lara Croft GO; Subterrain; AER Memories of Old; Laser League
May 2018,Dead Rising 4; Kerbal Space Program; RUINER,Running with Rifles; Moon Hunters; Crazy Machines 3; Jalopy; NBA Playgrounds
Jun 2018,Destiny 2,Styx: Shards of Darkness; Yooka-Laylee; Cook Serve Delicious! 2!!; Ken Follett's The Pillars of the Earth; Bear With Me - Collector's Edition; Acceleration of SUGURI 2
Jul 2018,Hearts of Iron IV; Blackwake; Portal Knights,Forts; Titan Quest: Anniversary Edition + Titan Quest: Ragnarok DLC; Shiness: The Lightning Kingdom; Interplanetary: Enhanced Edition; Serial Cleaner
Aug 2018,A Hat in Time; The Escapists 2; Conan Exiles,Forged Battalion; Kona; The Surge; Pathologic; Sudden Strike 4 
Sept 2018,[Sniper Elite 4; Tales of Beseria; Staxel] OR [Rise of the Tomb Raider],Little Nightmares; Darksiders II Deathinitive Edition; Battle Chef Brigade; Zombie Night Terror; Figment
Oct 2018,Overwatch,Dungeons 3; American Truck Simulator; Gremlins Inc.; Hidden Folks; Old Man's Journey; We Were Here Too
Nov 2018,Hollow Knight; HITMAN™: The Complete First Season; 7 Days to Die ,Resident Evil Revelations Unveiled Edition; Dead Island Definitive Edition; Sniper Elite; Sniper Elite V2; The Dwarves; Hard Reset Redux
Dec 2018,"Cities: Skylines + After Dark DLC;          
METAL GEAR SOLID V: The Definitive Experience",Mega Man Legacy Collection; Zombie Army Trilogy; Immortal Redneck; Purrfect Date - Visual Novel/Dating Simulator; Seven: The Days Long Gone; NeuroVoider
Jan 2019,Just Cause 3; Wizard of Legend; Project CARS 2,Q.U.B.E. 2; Observer; Sundered: Eldritch Edition; Regions of Ruin; The Darkside Detective
Feb 2019,Yakuza 0; Tom Clancy's The Division,Rapture Rejects; Sniper Elite 3; Rock of Ages 2; Tom Clancy's The Division - Survival; Full Metal Furies; Aaero; Bleed 2; Super Daryl Deluxe
Mar 2019,Warhammer: Vermintide 2 - Collector's Edition; EARTH DEFENSE FORCE 4.1  The Shadow of New Despair; Cultist Simulator,Tower Unite; Late Shift; Paradigm; Fight'N Rage; Slipstream
Apr 2019,Northgard; Mutant Year Zero: Road to Eden; Absolver,Tannenberg; Minit; She Remembered Caterpillars; Steel Rats; Dandara: Trials of Fear Edition
May 2019,Assassin's Creed Origins,Wandersong; Finding Paradise; Monster Prom; The Journey Down: Chapter Three; Do Not Feed the Monkeys; I’m not a Monster
Jun 2019,Black Ops 4 Battle Edition,911 Operator; 911 Operator - Special Resources; Red Faction Guerrilla Re-Mars-tered; Duskers; Paratopic; Pool Panic
Jul 2019,Hellblade: Senua's Sacrifice; Moonlighter,"Road Redemption; Warhammer 40,000: Mechanicus; Love is Dead; 60 Parsecs!; NAIRI: Tower of Shirin"
Aug 2019,Kingdom Come: Deliverance; Surviving Mars,Rising Storm 2: Vietnam; Yoku's Island Express; The Adventure Pals; Almost There: The Platformer; Swords and Soldiers 2 Shawarmageddon
Sept 2019,Slay the Spire; Squad,Distance; Guacamelee! 2; MOTHERGUNSHIP; State of Mind; God's Trigger
Oct 2019,BATTLETECH; BATTLETECH Flashpoint; BATTLETECH - Shadow Hawk Pack; Sonic Mania,The Spiral Scouts; PLANET ALPHA; Override; PUSS!; Avernum 3: Ruined World
Nov 2019,Call of Duty: WWII; Crash Bandicoot™ N. Sane Trilogy; Spyro™ Reignited Trilogy,Shenmue I & II; 11-11 Memories Retold; SYNTHETIK; Evergarden
Dec 2019,Yakuza Kiwami; SOULCALIBUR VI; My Time At Portia,Fluffy Horde; Chasm; Regular Human Basketball; Sword Legacy Omen
